clip_id,source_file,start_sec,end_sec,duration,text,snapped
Muwan_Palassa_140113__0037,Muwan Palassa 140113.mp3,263.454,270.818,7.364,අනේ පොඩ්ඩක් ඉන්ට බිසෝ නාමෙල් ලියුම ගලවලා බලනකල්.,True
Muwan_Palassa_140113__0038,Muwan Palassa 140113.mp3,302.782,306.114,3.332,වංකුලොතෙන්නුන් නෙමෙයිනෙ කියලා ඉන්නකොට තමයි,True
Muwan_Palassa_140113__0039,Muwan Palassa 140113.mp3,306.398,307.682,1.284,නාමෙල් ඇවිත් ඒ සේරම දියුණු කරලා.,True
Muwan_Palassa_140113__0040,Muwan Palassa 140113.mp3,307.682,315.49,7.808,ඔය දෙන්නා අවුරුදු ගාණක් තිස්සේ ආදරයෙන් ඉන්න වග ආරච්චිලා දන්නවනෙ.,True
Muwan_Palassa_140113__0041,Muwan Palassa 140113.mp3,316.254,320.258,4.004,අහුවුනෙ නැද්ද කවදාවත් ඔය හොර රහසේ පෙම් බැඳගෙන ඉන්න හැටි?,True
Muwan_Palassa_140113__0042,Muwan Palassa 140113.mp3,320.35,321.602,1.252,මොකද නැත්තේ?,True
Muwan_Palassa_140113__0043,Muwan Palassa 140113.mp3,322.302,323.938,1.636,කීප සැරයක්ම අහුවුණා.,True
Muwan_Palassa_140113__0044,Muwan Palassa 140113.mp3,324.446,326.882,2.436,එහෙනම් ඇයි ඉතින් නාමෙල්ව අස්කෙරුවේ නැත්තේ?,True
Muwan_Palassa_140113__0045,Muwan Palassa 140113.mp3,327.55,329.186,1.636,අස්කරන්ටම ගියා.,True
Muwan_Palassa_140113__0046,Muwan Palassa 140113.mp3,330.206,338.282,8.076,නැන්දට මතකද නාමෙල් මේ පැලැස්ස දියුණු කරන්ට ග්‍රාම සංවර්ධන සමාගමක් පිහිටුවන්ට ගිහින් වෙච්ච වැඩේ?,True
Muwan_Palassa_140113__0047,Muwan Palassa 140113.mp3,338.282,339.558,1.276,දන්නවනෙ ඒ ගැන?,False
Muwan_Palassa_140113__0048,Muwan Palassa 140113.mp3,340.894,346.018,5.124,ඒ සිද්ධිය අපේ ඉස්කෝලෙ ලොකු මහත්තයා අපිට කිව්වා.,True
Muwan_Palassa_140113__0049,Muwan Palassa 140113.mp3,346.654,353.89,7.236,ඒ මුල් රැස්වීම දවසේ නාමෙල්ට ගහලා කකුලක් කඩලා දාලා මේ සිහි නැතුව වැටිලා ඉන්නකොට,True
Muwan_Palassa_140113__0050,Muwan Palassa 140113.mp3,353.89,360.514,6.624,මැරිලා කියලා හිතාගෙන රෑ මැද්දෙ ඇදගෙන ගිහින් කැලේ මැද්දට දැම්මලු මේ කොටිංට වලස්සුන්ට ගොදුරු වෙන්ට කියලා.,True
Muwan_Palassa_140113__0051,Muwan Palassa 140113.mp3,406.878,411.01,4.132,මුදියා මාමා බය වුණා මුවං පැලැස්සට ග්‍රාම සංවර්ධනය මඟින් සමුපකාර වෙළෙඳ සැලක් පිහිටෙව්වයි කියලා.,True
Muwan_Palassa_140113__0052,Muwan Palassa 140113.mp3,411.294,416.482,5.188,මුදියා මාමා හොඳටම බය වුණේ කඩ සාප්පු වැහෙයි කියලා.,True
Muwan_Palassa_140113__0053,Muwan Palassa 140113.mp3,416.638,422.85,6.212,හරි. එතකොට ඇයි බිසෝගෙ අප්පච්චි ග්‍රාම සංවර්ධනයට විරුද්ධ වුණේ?,True
Muwan_Palassa_140113__0054,Muwan Palassa 140113.mp3,422.974,427.618,4.644,ඇයි ඉතින් මුලාදෑනියා සතුටු වෙන්ට එපාද මේ අපරාධ එහෙම අඩු වෙයි කියලා?,True
Muwan_Palassa_140113__0055,Muwan Palassa 140113.mp3,427.646,431.778,4.132,මුදියා මාමා අප්පච්චිට කිව්වා ග්‍රාම සංවර්ධනය පටන් ගත්තම ආරච්චිලකමටත් කටු ගහයි කියලා.,True
Muwan_Palassa_140113__0056,Muwan Palassa 140113.mp3,432.414,439.938,7.524,අප්පච්චි ඉතින් කීයට ගියත් ඒ ආරච්චිල පට්ටම බේරගෙන ගමේ ලොකු මුලාදෑනියා කියන තමුන්ගෙ තත්ත්වය තියාගන්ට මුදියා මාමාට එකතු වුණා.,True
Muwan_Palassa_140113__0057,Muwan Palassa 140113.mp3,440.222,448.162,7.94,ඒ සේරම අපේ ඉස්කෝලෙ ලොකු මහත්තයා දන්නවද?,True
Muwan_Palassa_140113__0058,Muwan Palassa 140113.mp3,448.382,457.538,9.156,"හැබැයි ඉතින් එදා ඒ රැස්වීම කඩාකප්පල් කරන්ට ඇවිත් සෙනඟට ගුටි බැට දීලා, අත පය කඩාපු සේරෝටම විරුද්ධව මේ නඩුවක් දාන්ට ගියාලු නේද?",True
Muwan_Palassa_140113__0059,Muwan Palassa 140113.mp3,457.822,460.482,2.66,ඔව්.,True
Muwan_Palassa_140113__0060,Muwan Palassa 140113.mp3,460.894,464.162,3.268,ඒ ග්‍රාම සංවර්ධනය පටන් ගන්ට කියලා නාමෙල් ඉස්සරහට දැම්මෙ කවුද දන්නවද?,True
Muwan_Palassa_140113__0061,Muwan Palassa 140113.mp3,465.182,471.554,6.372,"අපේ ඉස්කෝලෙ ලොකු මහත්තයා ඉන්නවනෙ, උන්නැහැ කරන්ට ගියේ මේ නොදියුණු මුවං පැලැස්ස දියුණු කරන්ට නේද?",True
Muwan_Palassa_140113__0062,Muwan Palassa 140113.mp3,473.054,482.69,9.636,"ඉතින් එදා රෑ ඒ සෙනඟට ගහලා, බැනලා, එතනින් ගියාම නාමෙල්ගෙ කකුලකුත් කඩලා, වන මෘගයින්ට පණ පිටින් කන්ට මහා කැලේ මැද්දට විසි කරපු මුදියන්සෙයා කොහොමද බේරුණේ කියන්ටකො මට?",True
Muwan_Palassa_140113__0063,Muwan Palassa 140113.mp3,483.87,487.49,3.62,එයාට හෙන්රි ගැන අහන්ට එපා නැන්දෙ.,True
Muwan_Palassa_140113__0064,Muwan Palassa 140113.mp3,487.87,498.626,10.756,"නෑ නෑ බිසෝ, මට තාමත් පුදුමයි මේ නාමෙල් නොමැරී බේරුණේ කොහොමද කියලා. අන්න ඒක දැනගන්ට මට ඕනෙ.",True
Muwan_Palassa_140113__0065,Muwan Palassa 140113.mp3,499.39,503.49,4.1,මේ මුළු දිස්ත්‍රික්කෙ සේරම හිතුවේ නාමෙල් මරලා එක්කෝ කොටි වලස්සු කෑවයි කියලයි.,True
Muwan_Palassa_140113__0066,Muwan Palassa 140113.mp3,504.222,511.202,6.98,පංගුවක් කීවේ කැලේ හේන් වවන මිනිස්සු අමුලන ගිනි මැලි වලට දාලා අළු කරන්ට ඇතී කියලයි.,True
Muwan_Palassa_140113__0067,Muwan Palassa 140113.mp3,512.126,516.482,4.356,ඒ සේරම කරවාපු හතුරො තාමත්...,True
Muwan_Palassa_140113__0068,Muwan Palassa 140113.mp3,516.482,518.722,2.24,අපොච්චියේ... බිසෝ අඩන්ට වැළපෙන්ට ඇති දවස් ගාණම්ම.,False
Muwan_Palassa_140113__0069,Muwan Palassa 140113.mp3,518.722,529.154,10.432,"නැන්දට මං ඇත්තම කියන්නං, අපේ නෑඹුල් ආදරේ ඉහළටම නැඟීගෙන ආපු කාලෙනෙ ඒ බයානක සිද්ධිය.",True
Muwan_Palassa_140113__0070,Muwan Palassa 140113.mp3,529.246,536.066,6.82,"හරි හරි හරි, දැන් ඉතින් අඬනවනං අපි මේ මාතෘකාව වෙන අතකට හරවමු.",True
Muwan_Palassa_140113__0071,Muwan Palassa 140113.mp3,536.766,545.442,8.676,වෙද මාමා උන්හිටිගමන් පාරට ගියේ මොකද? හදිසි ලෙඩෙක්වත් ගේනවද?,True
Muwan_Palassa_140113__0072,Muwan Palassa 140113.mp3,545.822,552.098,6.276,මං මේ බොහොම මහන්සි වෙලා අපේ නාමෙල් ලැයින්දාරියාට ලොකු බේතක් හදනවා.,True
Muwan_Palassa_140113__0073,Muwan Palassa 140113.mp3,552.098,565.442,13.344,ඒ බේතට ඕන කරන බේත් ඖෂධ ජාති කීපයක් හොයාගෙන එන්ට කියලා අර බණ්ඩියා ලැයින්දාරියා පිටත් කෙරුවා මාළිගා තැන්නේ කැලේට.,True
Muwan_Palassa_140113__0074,Muwan Palassa 140113.mp3,565.982,572.386,6.404,"හානෙ, මාළිගා තැන්නේ බිම හැම තැනම වලවල් හාරලයි කියලා කරත්ත අරමන්ස් කිව්වා.",True
Muwan_Palassa_140113__0075,Muwan Palassa 140113.mp3,572.51,574.626,2.116,අප්පච්චි අම්මයි දෙන්නම ගියා ලු ඒ වලවල් බලන්ට.,True
Muwan_Palassa_140113__0076,Muwan Palassa 140113.mp3,575.006,581.954,6.948,ආ... ඒ කැලේ තියෙන රත්තරන් ඇත් රූපෙ තියෙන නිධානේ තියෙනවා කියන්නේ?,True
Muwan_Palassa_140113__0077,Muwan Palassa 140113.mp3,582.302,590.69,8.388,"ඔං ඔය පිස්සු නිදං කතාවල් හින්දා මගේ ඉඩමත් හැම තැනම හොටබරි හොටෑන්නා වගේ බිඳලා, විනාශ කරලා.",True
Muwan_Palassa_140113__0078,Muwan Palassa 140113.mp3,591.358,599.042,7.684,ඔය මිථ්‍යා විශ්වාස හින්දා නේද වෙද මාමා නාමෙල්ව හොරෙන් පැහැරගෙන ගිහින් මරන්ට හැදුවේ?,True
Muwan_Palassa_140113__0079,Muwan Palassa 140113.mp3,599.042,603.362,4.32,බණ්ඩියාව අත්අඩංගුවට ගත්තලු මේ වාසමේ ගම්මුලාදෑනියා.,True
Muwan_Palassa_140113__0080,Muwan Palassa 140113.mp3,603.806,605.698,1.892,අප්පච්චි බණ්ඩියාව අල්ලගත්තලු?,True
Muwan_Palassa_140113__0081,Muwan Palassa 140113.mp3,605.698,607.106,1.408,කවුද... කවුද කිව්වේ සීයේ?,True
Muwan_Palassa_140113__0082,Muwan Palassa 140113.mp3,607.134,613.57,6.436,"ආ, මං අර පාරේ ගේට්ටුව ළඟට වෙලා බණ්ඩියා එනකල් ඉන්නකොට",True
Muwan_Palassa_140113__0083,Muwan Palassa 140113.mp3,614.046,621.57,7.524,පාරෙ යන මිනිස්සු කිව්වා බණ්ඩියාව ආරච්චිල හිරබාරෙට ගත්තයි කියලා.,True
Muwan_Palassa_140113__0084,Muwan Palassa 140113.mp3,623.358,635.682,12.324,"අයිතිකාරයාගේ අවසර නැතුව ඉඩමට රිංගලා, බෙහෙත් පැළෑටි හොයන මුවාවෙන් නිදන් හාරන්ට ගියාය කියන චෝදනාව උඩ. හ්ම්...",True
Muwan_Palassa_140113__0085,Muwan Palassa 140113.mp3,635.806,641.666,5.86,"අලියා කිව්වද දන්නේ නැහැ නාමෙල්ටයි ඒ බෙහෙත් හදන්නේ කියලා, නේද ඔය සීයේ?",True
Muwan_Palassa_140113__0086,Muwan Palassa 140113.mp3,641.79,644.706,2.916,ඒවා විතරක් නම් කමක් නැහැ බිසෝ.,True
Muwan_Palassa_140113__0087,Muwan Palassa 140113.mp3,645.598,652.802,7.204,නමුත් බණ්ඩියා වගේ මනුස්සයෙකුට තර්ජනය කෙරුවාම හුඟාක් රහස් එළිවෙන්ට ඇති.,True
Muwan_Palassa_140113__0088,Muwan Palassa 140113.mp3,653.854,659.874,6.02,ඒ කියන්නේ වෙද මාමා මේ නාමෙල් මේ ගෙදර නැවතිලා ඉන්නවා කියලා කියන්ටත් ඇතිද?,True
Muwan_Palassa_140113__0089,Muwan Palassa 140113.mp3,659.966,661.25,1.284,ඔව් ඔව්... ඔව් ඉස්කෝලේ නෝනි.,True
Muwan_Palassa_140113__0090,Muwan Palassa 140113.mp3,661.758,664.994,3.236,දැන් මාත් බොරුකාරයෙක් වෙලා ඉවරයි.,True
Muwan_Palassa_140113__0091,Muwan Palassa 140113.mp3,664.994,668.706,3.712,අනේ සීයේ...,True
Muwan_Palassa_140113__0092,Muwan Palassa 140113.mp3,670.11,674.338,4.228,ආරච්චිල නමව වරදල තේරුම් ගත්තට කමක් නැහැ.,True
Muwan_Palassa_140113__0093,Muwan Palassa 140113.mp3,674.494,677.698,3.204,නමුත් ඉතින්... ඒ කොහොමද තේරුම් ගත්තේ?,True
Muwan_Palassa_140113__0094,Muwan Palassa 140113.mp3,678.366,689.026,10.66,"ඉතින් දැන් මාස ගණනාවක් මං මේ ළමයි දෙන්නට නවාතැන් දීලා, නතර කරගෙන, නාමෙල්ට ප්‍රතිකාර කෙරුවා, හ්ම්?",True
Muwan_Palassa_140113__0095,Muwan Palassa 140113.mp3,689.662,693.282,3.62,ආරච්චිලට ඒ ගැන එක වචනයක්වත් නොකියා.,True
Muwan_Palassa_140113__0096,Muwan Palassa 140113.mp3,694.11,698.018,3.908,හැබැයි මිනිහා මාව සැක කෙරුවා කීප සැරයක්.,True
Muwan_Palassa_140113__0097,Muwan Palassa 140113.mp3,698.782,708.674,9.892,"මේකෙ වැඩේ, ආරච්චිලගෙ ලොකු යාළුවා දන්න තාලෙට මේ ගෙදර ඇතුලෙ ඉන්නෙ කවුද කියලා හොයා බැලුවා.",True
Muwan_Palassa_140113__0098,Muwan Palassa 140113.mp3,709.79,713.698,3.908,අංජනං එළියෙන් අනුමානෙට මේ ගේ හෝදිසි කරලා කිව්වලු.,True
Muwan_Palassa_140113__0099,Muwan Palassa 140113.mp3,713.758,716.034,2.276,වටින්නේ නැහැනේ මෙහෙම හොයලා බලන්ට.,True
Muwan_Palassa_140113__0100,Muwan Palassa 140113.mp3,717.822,723.842,6.02,"වටිනා දෙයක් එතකොට නාමෙල්ව හොරෙන් අරං ගිහින් නොමැර මැරුවේ, ඈ?",True
Muwan_Palassa_140113__0101,Muwan Palassa 140113.mp3,724.254,730.914,6.66,ඉතින් ආරච්චිලගේ ඒ ගජමිත්‍රයාට බැරිවුණා මගෙන් ඇත්ත නැත්ත දැනගන්ට.,True
Muwan_Palassa_140113__0102,Muwan Palassa 140113.mp3,731.966,744.514,12.548,"මේ ගිය සුමානේ... ඔව්, ගිය සුමානේ අර බහුභූතයා එක්ක ඇවිත් කිව්වා මේ ඉඩමෙයි ගේ ඇතුලෙයි හැමතැනම හූනියම් වලදාලා තියෙනවයි කියලා.",True
Muwan_Palassa_140113__0103,Muwan Palassa 140113.mp3,744.514,755.138,10.624,"ඒතකොට ඇත්ති මා තොලමොට්ටලෙක් වගේ බයවෙලා, ඒ හූනියම කපන්ට උන්නැහේලාව ගේ ඇතුලට ගනීවි කියලා.",True
Muwan_Palassa_140113__0104,Muwan Palassa 140113.mp3,755.138,756.238,1.1,ඔන්න එනවා.,False
Muwan_Palassa_140113__0105,Muwan Palassa 140113.mp3,756.51,757.954,1.444,මුදියන්සේ එනවා?,True
Muwan_Palassa_140113__0106,Muwan Palassa 140113.mp3,758.014,762.274,4.26,"නෑ නෑ, මේ නාමෙල් එනවා මේ පැත්තට.",True
Muwan_Palassa_140113__0107,Muwan Palassa 140113.mp3,763.166,767.554,4.388,"වෙද මාමා ටිකක් ගැස්සුනා මුදියන්සේ එනවා කියලා, නේද වෙද මාමා?",True
Muwan_Palassa_140113__0108,Muwan Palassa 140113.mp3,767.614,777.666,10.052,හැබැයි ඉතින් ඒ ගැස්සුනේ බයට නම් නෙවෙයි. අහිතකර සතෙක් ගෙට එනකොට දැනෙන අප්‍රසන්නතාවයට.,True
Muwan_Palassa_140113__0109,Muwan Palassa 140113.mp3,780.382,785.442,5.06,නෑ නෑ නෑ... කිසිම සමාවක් නැහැ.,True
Muwan_Palassa_140113__0110,Muwan Palassa 140113.mp3,786.27,801.314,15.044,ඒ වුණත් නාමෙල්ගෙයි බිසෝගේයි සැඟවී සිටීම ගැන මේ මුඅම්පැලැස්සේ මහත්තුරු දෙන්නෙක් මාව සැක කරන එක ගැනයි අපි මේ කතා වුණේ නාමෙල්.,True
Muwan_Palassa_140113__0111,Muwan Palassa 140113.mp3,801.47,811.49,10.02,"අනේ ඇත්තමයි, වෙද මාමාට අනේක වාරයක් ස්තූතියි කියලා කියන්ට කිව්වා ලොකු ඉස්කෝලේ මහත්තයා මේ කරන සේවයට.",True
Muwan_Palassa_140113__0112,Muwan Palassa 140113.mp3,811.55,814.434,2.884,"ඉස්කෝලෙ උන්නැහේ උගත්, වැදගත්, පැසුණු හිසෙන් බුහුමන් ලබන කෙනෙක්.",True
Muwan_Palassa_140113__0113,Muwan Palassa 140113.mp3,814.878,818.85,3.972,ඒ කියන්නේ කොණ්ඩේ පැහුණාම ගරු බුහුමන් කරන්ට ඕනි කියන එකද සීයේ?,True
Muwan_Palassa_140113__0114,Muwan Palassa 140113.mp3,818.878,830.53,11.652,"නෑ නෑ බිසෝ. පැසුණු හිසෙන් බුහුමන් ලබව් කීවේ හිසකේ පැහිච්ච අයට ගරු බුහුමන් කරන්ට කියනවා නෙවෙයි, එහෙම නේද වෙද සීයේ?",True
Muwan_Palassa_140113__0115,Muwan Palassa 140113.mp3,830.718,839.938,9.22,"නැනෙනි, එහෙමනම් ඉතින් අර වත්තේ කානු කපන මේ මේ ආරුමුගන්ගේ හිසකේ පුළුන් වගේ සුදුවෙලා තියෙන්නේ, ඈ?",True
Muwan_Palassa_140113__0116,Muwan Palassa 140113.mp3,839.998,852.578,12.58,"මේකනෙ වෙද මාමා, පැසුණු හිස කියන්නේ බුද්ධියෙන් මුහුකුරා ගිය විවිධ ශිල්ප ශාස්ත්‍ර වලින් අගපැමිණි බුද්ධිමතුන්ටනෙ. එහෙම නේද වෙද මාමා?",True
Muwan_Palassa_140113__0117,Muwan Palassa 140113.mp3,853.054,857.954,4.9,කවුද ආවේ? බණ්ඩියාද නැත්නම් මුදියාද?,True
Muwan_Palassa_140113__0118,Muwan Palassa 140113.mp3,858.238,863.17,4.932,ඔහොම ඉන්නකෝ දමං බලාගෙන එනකල්.,True
Muwan_Palassa_140113__0119,Muwan Palassa 140113.mp3,863.934,869.762,5.828,"ඒයි මාටින්, බණ්ඩියාව දැක්කාද, ඈ? බණ්ඩියා, බණ්ඩියා...",True
Muwan_Palassa_140113__0120,Muwan Palassa 140113.mp3,871.006,874.338,3.332,ලොකු මහත්තයා මොනවාද ඔය ලියුමෙ ලියලා තියෙන්නේ?,True
Muwan_Palassa_140113__0121,Muwan Palassa 140113.mp3,875.006,879.842,4.836,පුළුවන් තරම් ඉක්මනට මුවම්පැලැස්සෙන් පිටවෙලා යන්ට කියලා තමයි ලියලා තියෙන්නේ.,True
Muwan_Palassa_140113__0122,Muwan Palassa 140113.mp3,882.494,886.882,4.388,අපේ ඉස්කෝලෙ ලොකු මහත්තයා එහෙමත් ලියයිද? එච්චරද ලියලා තියෙන්නේ?,True
Muwan_Palassa_140113__0123,Muwan Palassa 140113.mp3,889.31,898.018,8.708,"තව අර දිගාමඩුල්ලේ මනමාලයායි, මුදියන්සේගේ පුත්‍ර මනමාලයායි දෙන්නෙක් බිසෝව කරකාර බැඳගන්ට බලා ඉඳිද්දී...",True
Muwan_Palassa_140113__0124,Muwan Palassa 140113.mp3,898.526,900.706,2.18,නාමෙල්ට මොකද වෙන්නේ කියලත් අහනවා.,True
Muwan_Palassa_140113__0125,Muwan Palassa 140113.mp3,900.99,903.362,2.372,බොරුනෙ නාමෙල් ඔය කියන්නේ.,True
Muwan_Palassa_140113__0126,Muwan Palassa 140113.mp3,904.542,911.106,6.564,ආ එක්කෙනෙකුගේ ඇස් වලට කඳුළු පිරෙනවා වගේ නම් මට පේනවා.,True
Muwan_Palassa_140113__0127,Muwan Palassa 140113.mp3,911.106,914.906,3.8,මෙයා හැමදාම මගේ ඇස් වලට කඳුළු පිරෙන කතාවමයි කියන්නේ නැන්දේ.,True
Muwan_Palassa_140113__0128,Muwan Palassa 140113.mp3,914.906,917.282,2.376,සතුටු කඳුළුද? වේදනා කඳුළුද?,False
Muwan_Palassa_140113__0129,Muwan Palassa 140113.mp3,917.282,922.978,5.696,වේදනාව දෙන කඳුළු තමයි මට නම් හැමදාම ගලන්නේ.,True
Muwan_Palassa_140113__0130,Muwan Palassa 140113.mp3,923.038,931.362,8.324,"ඉතින් බිසෝ, සතුටු කඳුළු පිරෙන්න තමයි අපේ ලොකු මහත්තයා නාමෙල්ට වෙන රස්සාවක් හොයලා දෙන්න යන්නේ.",True
Muwan_Palassa_140113__0131,Muwan Palassa 140113.mp3,932.062,937.378,5.316,"එතකොට ඔය දෙන්නට හැමදාම සන්තෝසෙන් ජීවත් වෙන්න පුළුවන්නේ, නේද නාමෙල්?",True
Muwan_Palassa_140113__0132,Muwan Palassa 140113.mp3,938.814,942.866,4.052,හරි නාමෙල් කැමතිද බිසෝවත් අරන් ඈතකට යන්න?,True
Muwan_Palassa_140113__0133,Muwan Palassa 140113.mp3,942.866,945.606,2.74,එක පාරට දහස් වාරයක් කැමතියි නැන්දේ.,False
Muwan_Palassa_140113__0134,Muwan Palassa 140113.mp3,945.982,949.634,3.652,ඒත් බිසෝ කැමති නැහැ අම්මයි අප්පච්චියි දාලා පිටවෙලා යන්න.,True
Muwan_Palassa_140113__0135,Muwan Palassa 140113.mp3,950.494,953.154,2.66,ඔන්න ඔතන තමයි තියෙන තහංචි බාධකය.,True
Muwan_Palassa_140113__0136,Muwan Palassa 140113.mp3,1002.302,1006.338,4.036,"මුඅම්පැලැස්ස අතහැරලම යන්න නෙවෙයි අමාරු නැන්දේ,",True
